Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status.status,status.service,latitude,longitude,altitude,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type
1593996290.3779583,26013,1574795812,263004064,navsat_link,2,1,40.663503778333336,-74.56452414166667,44.13099999999999,0.00927369,0.0,0.0,0.0,0.013479210000000002,0.0,0.0,0.0,207.36,1
1593996290.5740821,26014,1574795812,459182024,navsat_link,2,1,40.66350260833333,-74.56452281666667,44.12,0.00927369,0.0,0.0,0.0,0.013689000000000002,0.0,0.0,0.0,207.36,1
1593996290.768929,26015,1574795812,654077053,navsat_link,2,1,40.66350089833333,-74.56452165833333,44.053000000000004,0.00927369,0.0,0.0,0.0,0.013479210000000002,0.0,0.0,0.0,207.36,1
1593996290.9656858,26016,1574795812,850470066,navsat_link,2,1,40.6634991,-74.564520545,44.013,0.00927369,0.0,0.0,0.0,0.013479210000000002,0.0,0.0,0.0,207.36,1
1593996291.1698766,26017,1574795813,54800987,navsat_link,2,1,40.66349803666667,-74.56451933666666,44.013,0.00927369,0.0,0.0,0.0,0.013479210000000002,0.0,0.0,0.0,207.36,1
1593996291.3585207,26018,1574795813,243679046,navsat_link,2,1,40.66349692666667,-74.56451801666667,44.041999999999994,0.00927369,0.0,0.0,0.0,0.013271040000000003,0.0,0.0,0.0,207.36,1
1593996291.5610147,26019,1574795813,445878982,navsat_link,2,1,40.66349550666666,-74.56451599833333,43.964999999999996,0.00927369,0.0,0.0,0.0,0.013271040000000003,0.0,0.0,0.0,207.36,1
1593996291.7724545,26020,1574795813,657259941,navsat_link,2,1,40.66349373,-74.564514575,44.029,0.00910116,0.0,0.0,0.0,0.01306449,0.0,0.0,0.0,207.36,1
1593996291.960375,26021,1574795813,845870971,navsat_link,2,1,40.663492358333336,-74.56451277,43.961999999999996,0.00910116,0.0,0.0,0.0,0.01306449,0.0,0.0,0.0,207.36,1
1593996292.1623034,26022,1574795814,47277927,navsat_link,2,1,40.663490378333336,-74.564511445,43.922999999999995,0.00910116,0.0,0.0,0.0,0.01306449,0.0,0.0,0.0,207.36,1
1593996292.3728175,26023,1574795814,257028102,navsat_link,2,1,40.663489035,-74.56451065,43.909,0.00910116,0.0,0.0,0.0,0.01285956,0.0,0.0,0.0,207.36,1
1593996292.5596168,26024,1574795814,444953918,navsat_link,2,1,40.663487663333335,-74.56450912333334,43.823,0.00910116,0.0,0.0,0.0,0.01285956,0.0,0.0,0.0,207.36,1
1593996292.7621644,26025,1574795814,647535085,navsat_link,2,1,40.663486166666665,-74.56450750833334,43.826,0.00910116,0.0,0.0,0.0,0.01285956,0.0,0.0,0.0,207.36,1
1593996292.967879,26026,1574795814,853137969,navsat_link,2,1,40.663484606666664,-74.56450495166666,43.847,0.00893025,0.0,0.0,0.0,0.01285956,0.0,0.0,0.0,207.36,1
1593996293.1688657,26027,1574795815,53657054,navsat_link,2,1,40.663482955,-74.56450244666667,43.861,0.00893025,0.0,0.0,0.0,0.01285956,0.0,0.0,0.0,207.36,1
1593996293.3540847,26028,1574795815,239660024,navsat_link,2,1,40.66348132,-74.56449972166666,43.862,0.00893025,0.0,0.0,0.0,0.01285956,0.0,0.0,0.0,207.36,1
1593996293.5607796,26029,1574795815,446167945,navsat_link,2,1,40.66347993666667,-74.56449800166666,43.861,0.00893025,0.0,0.0,0.0,0.01285956,0.0,0.0,0.0,207.36,1
1593996293.7642167,26030,1574795815,649723052,navsat_link,2,1,40.66347847666667,-74.56449589833333,43.826,0.00893025,0.0,0.0,0.0,0.01265625,0.0,0.0,0.0,207.36,1
1593996293.9683237,26031,1574795815,853703022,navsat_link,2,1,40.663476575,-74.56449367333333,43.767,0.00893025,0.0,0.0,0.0,0.01265625,0.0,0.0,0.0,207.36,1
