,x,y,z
59,1289523.0,-4670298.5,4134180.5
60,1289518.375,-4670299.0,4134181.0
61,1289522.75,-4670298.5,4134180.5
62,1289515.75,-4670299.5,4134181.5
63,1289522.375,-4670298.5,4134180.5
64,1289517.375,-4670299.0,4134181.5
65,1289522.0,-4670298.5,4134180.5
66,1289517.125,-4670299.0,4134181.75
67,1289521.25,-4670298.5,4134180.5
68,1289517.25,-4670299.0,4134182.0
69,1289520.375,-4670298.5,4134180.5
70,1289515.75,-4670299.5,4134182.5
71,1289518.25,-4670299.0,4134180.5
72,1289517.125,-4670299.0,4134182.5
73,1289514.75,-4670299.5,4134180.75
74,1289480.75,-4670304.0,4134192.75
75,1289523.0,-4670298.5,4134180.5
76,1289518.375,-4670299.0,4134181.0
77,1289522.75,-4670298.5,4134180.5
78,1289518.125,-4670299.0,4134181.25
79,1289522.375,-4670298.5,4134180.5
80,1289517.25,-4670299.0,4134181.5
81,1289522.125,-4670298.5,4134180.5
82,1289521.25,-4670298.5,4134180.5
83,1289517.75,-4670299.0,4134182.0
84,1289520.375,-4670298.5,4134180.5
85,1289517.625,-4670299.0,4134182.25
86,1289518.0,-4670299.0,4134182.5
87,1289518.625,-4670299.0,4134180.75
88,1289523.0,-4670298.5,4134180.5
89,1289517.125,-4670299.0,4134181.0
90,1289522.75,-4670298.5,4134180.5
91,1289518.125,-4670299.0,4134181.25
92,1289522.375,-4670298.5,4134180.5
93,1289517.25,-4670299.0,4134181.5
94,1289522.125,-4670298.5,4134180.5
95,1289517.375,-4670299.0,4134181.75
96,1289521.25,-4670298.5,4134180.5
97,1289517.625,-4670299.0,4134182.0
98,1289520.375,-4670298.5,4134180.5
99,1289517.625,-4670299.0,4134182.25
100,1289518.25,-4670299.0,4134180.5
101,1289515.625,-4670299.0,4134183.0
102,1289518.0,-4670299.0,4134180.75
103,1289486.375,-4670303.0,4134191.25
104,1289523.0,-4670298.5,4134180.5
105,1289519.0,-4670299.0,4134181.0
106,1289522.75,-4670298.5,4134180.5
107,1289519.0,-4670299.0,4134181.25
108,1289522.375,-4670298.5,4134180.5
109,1289517.25,-4670299.0,4134181.5
110,1289522.0,-4670298.5,4134180.5
111,1289517.375,-4670299.0,4134181.75
112,1289521.25,-4670298.5,4134180.5
113,1289517.125,-4670299.0,4134182.0
114,1289520.25,-4670298.5,4134180.5
115,1289515.75,-4670299.0,4134182.75
116,1289518.25,-4670299.0,4134180.5
117,1289515.625,-4670299.0,4134183.0
118,1289514.375,-4670299.5,4134180.75
119,1289523.0,-4670298.5,4134180.5
120,1289516.75,-4670299.0,4134181.0
121,1289522.75,-4670298.5,4134180.5
122,1289515.25,-4670299.0,4134181.5
123,1289522.375,-4670298.5,4134180.5
124,1289518.0,-4670299.0,4134181.5
125,1289522.0,-4670298.5,4134180.5
126,1289517.0,-4670299.0,4134181.75
127,1289521.25,-4670298.5,4134180.5
128,1289515.25,-4670299.0,4134182.5
129,1289520.375,-4670298.5,4134180.5
130,1289518.25,-4670299.0,4134180.5
131,1289515.625,-4670299.0,4134183.0
132,1289517.125,-4670299.0,4134180.75
133,1289523.0,-4670298.0,4134180.5
134,1289519.0,-4670298.5,4134181.0
135,1289522.75,-4670298.5,4134180.5
136,1289517.0,-4670299.0,4134181.25
137,1289522.375,-4670298.5,4134180.5
138,1289518.0,-4670299.0,4134181.5
139,1289522.0,-4670298.5,4134180.5
140,1289517.0,-4670299.0,4134181.75
141,1289521.375,-4670298.5,4134180.5
142,1289517.125,-4670299.0,4134182.0
143,1289520.375,-4670298.5,4134180.5
144,1289516.625,-4670299.0,4134182.5
145,1289518.25,-4670299.0,4134180.5
146,1289515.625,-4670299.0,4134183.0
147,1289517.25,-4670299.0,4134180.75
148,1289515.5,-4670299.0,4134183.25
149,1289523.0,-4670298.0,4134180.5
150,1289516.625,-4670299.0,4134181.0
151,1289522.75,-4670298.5,4134180.5
152,1289518.0,-4670299.0,4134181.25
153,1289522.375,-4670298.5,4134180.5
154,1289517.25,-4670299.0,4134181.5
155,1289522.0,-4670298.5,4134180.5
156,1289516.5,-4670299.0,4134182.0
157,1289521.25,-4670298.5,4134180.5
158,1289517.375,-4670299.0,4134182.0
159,1289520.375,-4670298.5,4134180.5
160,1289515.5,-4670299.0,4134182.75
161,1289518.125,-4670299.0,4134180.5
162,1289515.625,-4670299.0,4134183.0
163,1289517.5,-4670299.0,4134180.75
164,1289515.625,-4670299.0,4134183.25
165,1289523.0,-4670298.0,4134180.5
166,1289516.75,-4670299.0,4134181.0
167,1289522.75,-4670298.5,4134180.5
168,1289518.0,-4670299.0,4134181.25
169,1289522.375,-4670298.5,4134180.5
170,1289517.25,-4670299.0,4134181.5
171,1289522.0,-4670298.5,4134180.5
172,1289517.0,-4670299.0,4134181.75
173,1289521.375,-4670298.5,4134180.5
174,1289517.125,-4670299.0,4134182.0
175,1289520.25,-4670298.5,4134180.5
176,1289516.875,-4670299.0,4134182.5
177,1289518.125,-4670299.0,4134180.5
178,1289515.625,-4670299.0,4134183.0
179,1289517.0,-4670299.0,4134180.75
180,1289515.625,-4670299.0,4134183.25
181,1289523.0,-4670298.0,4134180.5
182,1289516.75,-4670299.0,4134181.0
183,1289522.75,-4670298.5,4134180.5
184,1289518.0,-4670299.0,4134181.25
185,1289522.375,-4670298.5,4134180.5
186,1289515.5,-4670299.0,4134181.75
187,1289522.0,-4670298.5,4134180.5
188,1289517.125,-4670299.0,4134181.75
189,1289521.25,-4670298.5,4134180.5
190,1289517.125,-4670299.0,4134182.0
191,1289520.25,-4670298.5,4134180.5
192,1289516.875,-4670299.0,4134182.5
193,1289518.25,-4670299.0,4134180.5
194,1289515.625,-4670299.0,4134183.0
195,1289517.0,-4670299.0,4134180.75
196,1289515.625,-4670299.0,4134183.25
197,1289523.0,-4670298.0,4134180.5
198,1289516.75,-4670299.0,4134181.0
199,1289522.75,-4670298.5,4134180.5
200,1289517.875,-4670299.0,4134181.25
201,1289522.375,-4670298.5,4134180.5
202,1289516.0,-4670299.0,4134181.75
203,1289522.0,-4670298.5,4134180.5
204,1289517.0,-4670299.0,4134181.75
205,1289521.25,-4670298.5,4134180.5
206,1289515.5,-4670299.0,4134182.25
207,1289520.25,-4670298.5,4134180.5
208,1289516.0,-4670299.0,4134182.5
209,1289517.875,-4670299.0,4134180.5
210,1289515.625,-4670299.0,4134183.0
211,1289515.625,-4670299.0,4134183.25
212,1289523.0,-4670298.0,4134180.5
213,1289517.0,-4670299.0,4134181.0
214,1289522.75,-4670298.0,4134180.5
215,1289515.375,-4670299.0,4134181.5
216,1289522.375,-4670298.5,4134180.5
217,1289515.375,-4670299.0,4134181.75
218,1289522.0,-4670298.5,4134180.5
219,1289517.375,-4670299.0,4134181.75
220,1289521.25,-4670298.5,4134180.5
221,1289515.625,-4670299.0,4134182.25
222,1289520.375,-4670298.5,4134180.5
223,1289516.0,-4670299.0,4134182.5
224,1289518.125,-4670298.5,4134180.5
225,1289516.0,-4670299.0,4134180.75
226,1289515.625,-4670299.0,4134183.25
227,1289523.0,-4670298.0,4134180.5
228,1289516.875,-4670299.0,4134181.0
229,1289522.75,-4670298.0,4134180.5
230,1289516.0,-4670299.0,4134181.25
231,1289522.375,-4670298.5,4134180.5
232,1289514.5,-4670299.0,4134181.75
233,1289522.0,-4670298.5,4134180.5
234,1289515.5,-4670299.0,4134182.0
235,1289521.25,-4670298.5,4134180.5
236,1289520.25,-4670298.5,4134180.5
237,1289518.125,-4670298.5,4134180.5
238,1289516.375,-4670299.0,4134180.75
239,1289515.5,-4670299.0,4134183.25
240,1289523.0,-4670298.0,4134180.5
241,1289522.75,-4670298.0,4134180.5
242,1289515.875,-4670299.0,4134181.5
243,1289522.375,-4670298.5,4134180.5
244,1289515.375,-4670299.0,4134181.75
245,1289522.0,-4670298.5,4134180.5
246,1289521.25,-4670298.5,4134180.5
247,1289520.25,-4670298.5,4134180.5
248,1289518.125,-4670298.5,4134180.5
249,1289516.0,-4670299.0,4134180.75
250,1289515.5,-4670299.0,4134183.25
251,1289523.0,-4670298.0,4134180.5
252,1289516.875,-4670299.0,4134181.0
253,1289522.75,-4670298.0,4134180.5
254,1289515.0,-4670299.0,4134181.5
255,1289522.375,-4670298.5,4134180.5
256,1289514.75,-4670299.0,4134181.75
257,1289522.125,-4670298.5,4134180.5
258,1289516.875,-4670299.0,4134181.75
259,1289521.25,-4670298.5,4134180.5
260,1289495.0,-4670301.0,4134185.5
261,1289520.375,-4670298.5,4134180.5
262,1289516.625,-4670299.0,4134182.5
263,1289518.0,-4670298.5,4134180.5
264,1289495.25,-4670301.0,4134187.75
265,1289516.375,-4670299.0,4134180.75
266,1289515.5,-4670299.0,4134183.25
267,1289523.0,-4670298.0,4134180.5
268,1289516.375,-4670299.0,4134181.0
269,1289522.75,-4670298.0,4134180.5
270,1289517.375,-4670298.5,4134181.25
271,1289522.375,-4670298.5,4134180.5
272,1289516.25,-4670299.0,4134181.75
273,1289522.125,-4670298.5,4134180.5
274,1289495.25,-4670300.5,4134184.5
275,1289521.25,-4670298.5,4134180.5
276,1289495.125,-4670300.5,4134185.5
277,1289520.375,-4670298.5,4134180.5
278,1289495.125,-4670300.5,4134186.75
279,1289518.5,-4670298.5,4134180.5
280,1289495.25,-4670300.5,4134187.75
281,1289516.0,-4670299.0,4134180.75
282,1289495.375,-4670300.5,4134188.75
283,1289523.0,-4670298.0,4134180.5
284,1289516.375,-4670299.0,4134181.0
285,1289522.75,-4670298.0,4134180.5
286,1289517.375,-4670298.5,4134181.25
287,1289522.375,-4670298.0,4134180.5
288,1289516.75,-4670298.5,4134181.5
289,1289522.0,-4670298.5,4134180.5
290,1289517.0,-4670298.5,4134181.75
291,1289521.375,-4670298.5,4134180.5
292,1289515.25,-4670299.0,4134182.5
293,1289520.25,-4670298.5,4134180.5
294,1289495.125,-4670300.5,4134186.75
295,1289518.75,-4670298.5,4134180.75
296,1289495.25,-4670300.5,4134187.75
